team_slug,planning_year,race_count,completed_race_count,scheduled_race_count,total_expected_points,completed_expected_points,remaining_expected_points,actual_points_known,ev_gap_known,summary_view,dimension,dimension_value,team_reference_total_points,actual_points_capture_ratio,month,expected_points,actual_points,ev_gap,category
unibet-rose-rockets-2026,2026.0,78,44.0,34.0,3472.403989766943,1667.437616691355,1804.9663730755885,1880.0,212.56238330864483,overview,all,all,2443.0,0.7695456406058125,,,,,
,,7,,,,,,,,by_month,month,1,,,1.0,245.7731739779216,233.0,-12.773173977921608,
,,12,,,,,,,,by_month,month,2,,,2.0,489.6556882923705,386.0,-103.65568829237046,
,,17,,,,,,,,by_month,month,3,,,3.0,687.9863212892819,927.0,239.01367871071798,
,,13,,,,,,,,by_month,month,4,,,4.0,443.18378314801726,334.0,89.97756686821893,
,,13,,,,,,,,by_month,month,5,,,5.0,915.6137837001346,0.0,0.0,
,,5,,,,,,,,by_month,month,6,,,6.0,253.18642202414077,0.0,0.0,
,,2,,,,,,,,by_month,month,7,,,7.0,80.15158255431871,0.0,0.0,
,,4,,,,,,,,by_month,month,8,,,8.0,193.24957168654797,0.0,0.0,
,,3,,,,,,,,by_month,month,9,,,9.0,99.18469171332886,0.0,0.0,
,,2,,,,,,,,by_month,month,10,,,10.0,64.4189713808813,0.0,0.0,
,,32,,,,,,,,by_category,category,1.1,,,,943.237852374594,692.0,54.55810133517078,1.1
,,16,,,,,,,,by_category,category,1.Pro,,,,945.0437681203366,312.0,-228.7741261585475,1.Pro
,,13,,,,,,,,by_category,category,1.UWT,,,,477.289955524145,577.0,246.56849232943807,1.UWT
,,10,,,,,,,,by_category,category,2.1,,,,375.8745730413584,144.0,17.200205073938363,2.1
,,6,,,,,,,,by_category,category,2.Pro,,,,641.0455169273218,155.0,123.0097107286451,2.Pro
,,1,,,,,,,,by_category,category,2.UWT,,,,89.91232377918776,0.0,0.0,2.UWT
